id	first_name	last_name	contributions	total_contributions
229	Rasmus	Benestad	[3.1.4.584.75.x1|4.1.4.666.75.x1]	2
230	L.	Bengtsson	[1.1.2.245.117.x1]	1
231	Martin	Beniston	[2.1.4.136.102.x1|2.2.1.136.102.x1|2.2.2.136.102.x1|3.2.4.1.1.x1|4.1.4.753.102.x2|4.2.4.753.102.x1]	7
232	Pablo	Benítez-Ponce	[4.3.2.908.20.x1]	1
233	Gerardo	Benito	[5.2.2.301.97.x1]	1
235	T.	Benning	[2.2.2.1.113.x1]	1
236	Charlotte	Benson	[3.2.4.1089.117.x1]	1
237	C.	Bentley	[2.1.4.731.113.x1]	1
238	M.	Beran	[1.2.4.1.117.x2]	2
239	André	Berger	[1.1.2.194.10.x2|4.1.4.194.10.x1]	3
241	Frans	Berkhout	[4.2.2.302.107.x1|5.2.2.302.107.x1]	2
242	M.	Berliner	[3.1.4.168.113.x1]	1
243	S.	Bernow	[3.3.4.1163.113.x1]	1
245	Lenny S.	Bernstein	[3.3.2.1164.113.x1|4.3.1.909.113.x1|4.3.2.909.113.x1|4.3.4.909.113.x1]	4
247	Terje	Berntsen	[3.1.4.398.75.x1|4.1.2.398.75.x3]	4
248	Joseph A.	Berry	[4.1.4.667.113.x1]	1
249	E.	Bertel	[2.2.2.470.7.x1]	1
250	Paolo	Bertoldi	[4.3.4.679.49.x1]	1
251	Gerhard	Berz	[3.2.2.349.36.x1|3.2.4.349.36.x1]	2
252	Richard A.	Betts	[3.1.4.182.117.x2|4.1.2.182.117.x1|4.1.4.182.117.x2|4.2.4.182.117.x1|5.2.2.182.117.x1]	7
253	Michel	Beuthe	[4.3.2.910.10.x1]	1
254	I.	Bey	[3.1.4.215.113.x1]	1
255	Suruchi	Bhadwal	[4.2.2.303.44.x1|5.2.3.303.44.x1]	2
256	Bonizella	Biagini	[4.2.4.775.113.x1]	1
257	Rosina	Bierbaum	[2.2.2.1090.113.x1|5.2.3.247.113.x1]	2
258	Joachim	Biercamp	[4.1.4.668.36.x1]	1
259	Luitzen	Bijlsma	[2.2.1.1091.107.x1|2.2.2.1091.107.x1|3.2.3.1091.107.x1]	3
260	Du	Bilan	[2.2.4.1276.23.x1]	1
261	Marco	Bindi	[4.2.2.304.49.x1|5.2.2.304.49.x1]	2
262	Nathaniel L.	Bindoff	[4.1.1.171.6.x1|4.1.2.171.6.x2|5.1.1.163.6.x1|5.1.2.163.6.x1|5.1.4.163.6.x2]	7
264	R.	Bindschadler	[2.1.4.124.113.x1|3.1.4.124.113.x1]	2
265	D.	Binet	[2.2.4.1277.35.x2]	2
266	Joern	Birkmann	[5.2.2.305.36.x1]	1
267	Fatih	Birol	[4.3.4.911.35.x1]	1
268	D.K.	Biswas	[3.3.2.1165.44.x1]	1
269	Cecilia M.	Bitz	[3.1.4.1006.113.x1|4.1.4.132.113.x1|5.1.4.1.113.x1]	3
270	Richard	Black	[4.2.4.468.117.x1]	1
271	D.	Blake	[2.1.4.251.113.x1]	1
272	J.P.	Blanchet	[1.1.2.164.20.x1]	1
274	Heinz	Blatter	[4.1.4.136.102.x1]	1
275	D.	Bleviss	[2.2.2.1.113.x2]	2
276	Kornelis	Blok	[3.3.2.562.107.x3|4.3.2.562.107.x1]	4
277	C.	Blondin	[1.1.2.1393.35.x1]	1
278	P.	Bloomfield	[1.1.2.754.113.x1|2.1.4.1216.113.x1]	2
279	D.	Bnlhnger	[1.1.2.544.113.x1]	1
280	Brenda	Boardman	[4.3.4.153.117.x1]	1
282	Greg	Bodeker	[4.1.4.280.73.x1]	1
283	George J.	Boer	[1.1.2.164.20.x2|2.1.2.164.20.x1|2.1.4.164.20.x1|3.1.2.164.20.x1|3.1.4.164.20.x3|5.1.2.164.20.x1]	9
284	Rizaldi	Boer	[4.3.2.913.45.x1]	1
285	R.	Boers	[3.1.4.171.6.x1]	1
286	Jean E.	Bogner	[4.3.1.914.113.x1|4.3.2.914.113.x2]	3
287	P.	Bohm	[2.3.2.701.101.x1|3.3.2.701.101.x1]	2
288	C.	Bohringer	[3.3.4.1166.36.x1]	1
289	Roxana	Bojariu	[4.1.2.165.85.x1|5.1.2.165.85.x1]	2
290	Michel	Boko	[1.2.4.1278.12.x1|2.2.2.1278.12.x1|2.2.4.1278.12.x1|3.2.2.776.35.x1|4.2.1.776.35.x1|4.2.2.776.35.x2]	7
291	Bert	Bolin	[2.1.2.1.101.x1|2.2.2.1.101.x1|3.1.3.867.101.x2]	4
292	Suzanne	Bolton	[2.2.2.188.113.x1|2.2.4.188.113.x2]	3
293	Simon	Bolwig	[5.3.2.506.28.x1]	1
294	W.	Bomin	[2.1.4.1213.23.x1]	1
295	Gordon B.	Bonan	[3.1.4.166.113.x1|4.1.4.166.113.x1|5.1.4.166.113.x1]	3
296	D.	Bond	[1.2.4.1.20.x1]	1
297	William J.	Bond	[3.2.4.1.1.x1|4.2.4.149.95.x1]	2
298	Céline	Bonfils	[4.1.4.669.113.x1]	1
299	C.	Bonnard	[2.2.4.136.102.x1]	1
300	Sandrine	Bony	[3.1.4.167.35.x1|4.1.2.167.35.x1]	2
301	Aaron	Boone	[4.1.4.249.35.x1]	1
302	Kansri	Boonpragob	[4.1.3.670.105.x2]	2
303	T.H.	Booth	[2.2.4.1.6.x1]	1
304	Laurent	Bopp	[3.1.4.167.35.x1|5.1.2.167.35.x1]	2
307	Irena	Borzenkova	[3.2.4.294.86.x1]	1
308	Peter	Bosch	[4.3.2.562.107.x2]	2
309	Ranjan K.	Bose	[3.3.4.915.44.x1|4.3.3.915.44.x1]	2
310	Olivier	Boucher	[2.1.4.167.35.x2|3.1.2.1008.35.x1|3.1.4.1008.35.x1|4.1.4.182.117.x1|5.1.1.167.35.x1]	6
311	Daniel H.	Bouille	[3.3.1.355.5.x1|3.3.2.355.5.x1|4.3.4.355.5.x1|5.3.3.355.5.x1]	4
312	Jean-Philipe	Boulanger	[5.2.2.306.35.x1]	1
313	Lahouari	Bounoua	[4.2.4.124.113.x1]	1
314	Philippe	Bousquet	[3.1.4.167.35.x1|4.1.4.167.35.x1]	2
315	Laurens	Bouwer	[3.2.2.302.107.x1|5.2.2.302.107.x1]	2
318	Jason E.	Box	[4.1.4.168.113.x1|5.1.4.1.28.x1]	2
319	H.	Boyd	[1.2.1.1.20.x1]	1
320	Phil	Boyd	[5.2.2.307.73.x1]	1
321	Tim	Boyer	[4.1.4.188.113.x1]	1
322	J.	Boyle	[2.1.4.201.113.x1]	1
323	Pascale	Braconnot	[3.1.4.167.35.x1|4.1.2.167.35.x1|5.1.2.167.35.x1]	3
324	Raymond S.	Bradley	[1.1.2.1009.113.x1|2.1.4.1009.113.x1|3.1.4.1009.113.x1]	3
325	Richard	Bradley	[4.3.2.911.113.x1]	1
326	R.	Bradshaw	[2.1.4.1217.101.x1]	1
327	Esther	Brady	[4.1.4.166.113.x1]	1
328	R.J.	Braithwaite	[1.1.2.1358.28.x1|2.1.4.721.117.x1|2.2.2.721.117.x1]	3
329	D.	Brakke	[2.2.4.1.113.x1]	1
330	Keith	Brander	[4.2.2.777.28.x1|4.2.4.777.28.x1]	2
331	Guy	Brasseur	[3.1.4.169.36.x1|4.1.1.166.113.x1|4.1.4.166.113.x2]	4
332	L.	Braun	[2.2.4.1279.36.x1]	1
333	Evelyne	Bravo	[2.2.2.1.120.x2]	2
334	R.	Brazdil	[3.1.4.1010.27.x1]	1
335	W.S.	Breed	[2.2.2.1.113.x1]	1
336	Antoinette	Brenkert	[4.2.4.414.113.x1]	1
337	Francois-Marie	Breon	[5.1.2.167.35.x1]	1
338	Christopher	Bretherton	[4.1.4.132.113.x1|5.1.2.132.113.x1]	2
339	F.P.	Bretherton	[1.1.1.731.113.x1|1.1.2.731.113.x1]	2
341	Peter G.	Brewer	[5.2.2.308.113.x1|5.2.4.308.113.x1]	2
342	A.	Breymcyer	[1.1.2.1394.82.x1]	1
343	Keith R.	Briffa	[2.1.4.231.117.x1|3.1.4.231.117.x1|4.1.2.231.117.x1]	3
345	Lino	Briguglio	[3.2.2.778.62.x1|4.2.2.778.62.x1|5.2.2.309.62.x1]	3
346	Sander	Brinkman	[4.3.4.917.107.x1]	1
347	S.	Brinkop	[3.1.4.1011.36.x1]	1
348	Abigail	Bristow	[4.2.4.779.117.x1]	1
349	Michael	Brklacich	[2.2.4.310.20.x1|4.2.2.310.20.x1|5.2.3.310.20.x1]	3
350	Anthony J.	Broccoli	[3.1.4.188.113.x1|4.1.4.258.113.x1]	2
351	Patrick	Brockmann	[4.1.4.167.35.x1]	1
353	David H.	Bromwich	[4.1.4.168.113.x3|5.1.4.168.113.x2]	5
354	Stefan	Broennimann	[5.1.2.126.102.x1]	1
355	P.	Brookes	[2.2.4.1280.117.x1]	1
356	H.	Brooks	[3.1.4.188.113.x1]	1
357	Nick	Brooks	[4.2.4.231.117.x1]	1
358	John	Broome	[5.3.2.153.117.x1]	1
359	J.	Brouwer	[2.2.4.1.107.x1]	1
360	Victor	Brovkin	[4.1.4.200.36.x2|5.1.2.169.36.x1]	3
361	Barbara	Brown	[4.2.4.780.117.x1]	1
362	Marilyn A.	Brown	[4.3.4.509.113.x1|5.3.3.509.113.x1]	2
363	Ross D.	Brown	[3.1.4.164.20.x1|3.2.1.164.20.x1|3.2.2.164.20.x2|4.1.4.164.20.x1]	5
365	Sandra	Brown	[3.1.4.1094.113.x1]	1
366	Barbara	Brown	[2.2.4.1093.117.x1]	1
367	J.	Brown	[2.2.2.1.113.x1]	1
368	Ross D.	Brown	[2.2.4.164.20.x1]	1
369	Sandra	Brown	[2.2.1.905.113.x1|2.2.2.905.113.x1|2.2.4.905.113.x1]	3
370	K.	Browning	[1.1.2.182.117.x1]	1
371	C.	Bruhl	[2.1.4.1002.36.x1]	1
372	James P.	Bruce	[3.2.3.781.20.x1|3.2.4.781.20.x1|4.2.3.781.20.x1]	3
373	J.	Bruggink	[2.2.2.1.107.x1]	1
375	M.	Brunet-India	[3.1.4.1012.97.x1]	1
377	Annegrete	Bruvoll	[5.3.2.511.75.x1]	1
378	F.O.	Bryan	[3.1.4.1013.113.x2]	2
379	K.	Bryan	[1.1.1.188.113.x1|1.1.2.188.113.x1]	2
380	F.	Bryant	[2.2.2.1.113.x1]	1
381	H.	Bryden	[3.1.4.1014.117.x1]	1
382	Marcos	Buckeridge	[5.2.2.158.16.x1]	1
384	M.	Budyko	[1.1.2.294.114.x1]	1
385	Harald	Bugmann	[3.2.4.725.102.x1|4.2.4.136.102.x1]	2
386	H.K.M.	Bugmann	[2.2.4.1.36.x2]	2
387	T.A.	Buishand	[2.1.4.226.107.x1|3.1.4.226.107.x1]	2
389	Lawrence	Buja	[3.1.4.166.113.x1|4.1.4.166.113.x1]	2
390	Peter	Bullock	[2.2.1.1281.117.x1|2.2.2.1281.117.x2]	3
391	F.	Bultot	[1.2.4.1282.10.x1|2.2.4.1282.10.x1]	2
392	Stuart	Bunn	[5.2.2.311.6.x1]	1
393	Sarah	Burch	[4.2.4.326.20.x1|4.3.4.326.20.x1]	2
394	Nicholas	Burger	[4.3.2.544.113.x1]	1
395	Virginia	Burkett	[3.2.2.312.113.x1|4.2.2.312.113.x1|4.2.4.312.113.x1|5.2.1.312.113.x1]	4
396	P.	Burschel	[2.2.4.1.36.x1]	1
397	Ian	Burton	[3.2.2.313.20.x2|3.2.3.313.20.x1|4.2.2.313.20.x1|5.2.2.313.20.x1]	5
399	J.	Busch	[2.2.2.1.113.x1]	1
400	Aristita	Busuioc	[4.1.2.671.85.x1]	1
401	J.	Butler	[2.1.4.188.113.x1]	1
403	John	Byrne	[2.3.4.850.113.x1|3.3.4.850.113.x1]	2
404	E.	Byutner	[1.1.4.1396.114.x1]	1
405	D.L.	Cadet	[1.1.2.1397.35.x1]	1
406	Patricia	Cadule	[4.1.4.167.35.x1]	1
407	Rongshuo	Cai	[5.2.1.314.23.x1]	1
408	Wenju	Cai	[4.1.4.171.6.x1]	1
409	Zucong	Cai	[4.3.2.918.23.x1]	1
410	Sandy	Cairncross	[4.2.2.358.117.x1]	1
411	K.	Caldeira	[3.1.4.201.113.x1]	1
412	R.	Calienes	[2.2.4.1.80.x1]	1
414	Terry V.	Callaghan	[4.2.2.782.101.x1|4.2.4.782.101.x1|5.2.4.1.117.x1]	3
416	R.	Callendar	[2.2.4.188.113.x1]	1
417	S.	Calvert	[2.1.4.326.20.x1]	1
418	K.	Calvin	[2.2.2.1.113.x1]	1
419	Eduardo	Calvo Buendia	[3.3.3.1167.80.x1|4.3.3.315.80.x1|5.2.3.315.80.x1]	3
420	Guilian	Cambers	[4.2.3.1.84.x1]	1
421	Inés	Camilloni	[4.1.4.170.5.x1|5.1.2.170.5.x1]	2
424	John R.	Campbell	[5.2.4.316.73.x1]	1
425	B.	Campbell	[2.2.2.941.20.x1]	1
426	C.A.	Campbell	[2.2.4.1.73.x1]	1
427	Diarmid	Campbell-Lendrum	[5.2.2.317.117.x1]	1
